Date,Description,Amount,Balance
01/01/2026,Opening Balance,5000.00,5000.00
05/01/2026,Whole Foods Market,-78.35,4921.65
07/01/2026,Shell Gas Station,-45.00,4876.65
10/01/2026,Netflix Monthly,-15.99,4860.66
10/01/2026,Spotify Premium,-9.99,4850.67
12/01/2026,Salary January,3200.00,8050.67
15/01/2026,Rent Payment,-850.00,7200.67
15/01/2026,Electric Bill,-95.50,7105.17
18/01/2026,Amazon Purchase,-29.99,7075.18
20/01/2026,Restaurant La Piazza,-42.00,7033.18
22/01/2026,Pharmacy,-18.75,7014.43
25/01/2026,Train Ticket,-12.50,7001.93
28/01/2026,Freelance Payment,500.00,7501.93
30/01/2026,Grocery Store,-65.20,7436.73
